,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000000909,218,246,164,672,690,448
ENSRNOG00000000913,280.01,255,281,1261,1145.01,812
ENSRNOG00000000916,0,6.9,0,0,0,0
ENSRNOG00000000917,12,11,9,52,36,13
ENSRNOG00000000918,1185.8,1416.13,973.71,1998.75,2058.91,1420.68
ENSRNOG00000000920,1,2,1,6,5,1
ENSRNOG00000000921,725,732,626,3365,3153,2714
ENSRNOG00000000922,314,273,302,654,608,467
ENSRNOG00000000923,1406,1631,1353,2818,2991,2302
ENSRNOG00000000924,110,64,67,102,73,39
ENSRNOG00000000925,92,104,96,253,232,181
ENSRNOG00000000926,192,175,154,534,539,399
ENSRNOG00000000931,382,365,371,1031,841,682
ENSRNOG00000000934,0,0,0,0,0,0
ENSRNOG00000000936,280,300,227,1780,1648,1164
ENSRNOG00000000937,178,156,165,1060,822,738
ENSRNOG00000000938,1354,1504,1255,2706,2597,2024
ENSRNOG00000000940,271,267,218,920,983,754
ENSRNOG00000000942,86,87,89,267,271,187
ENSRNOG00000000943,0,0,0,0,1,0
ENSRNOG00000000952,0,0,0,0,0,0
ENSRNOG00000000954,187,189,137,322,273,227
ENSRNOG00000000955,200,166,170,811,1068,924
ENSRNOG00000000956,9,4,6,29,47,21
ENSRNOG00000000957,1648.46,1898.93,1800.15,4654.28,4632.94,3133.65
ENSRNOG00000000958,4.72,2.64,5.9,18.9,16.14,11.17
ENSRNOG00000000961,389,356,257,131,100,64
ENSRNOG00000000962,234,227,184,771,648,484
ENSRNOG00000000963,0,0,0,3,0,2
ENSRNOG00000000964,4.42,4.79,5.73,14.36,7.66,13.16
ENSRNOG00000000967,9,22,14,154,349,166
ENSRNOG00000000968,509,497,473,1228,1163,801
ENSRNOG00000000969,2697.38,2084.41,2216,16234.6,23857.25,20057.53
ENSRNOG00000000973,0,0,0,0,0,0
ENSRNOG00000000974,91,74,66,273,277,161
ENSRNOG00000000975,352,413,346,1216,1114,763
ENSRNOG00000000977,107,87,72,538,452,310
ENSRNOG00000000978,6873.08,10099,6005.57,37110.14,33508.89,21173.54
ENSRNOG00000000979,27,25,26,56,50,39
ENSRNOG00000000981,669,946,668,4455,3783,2167
ENSRNOG00000000983,86,92,72,244,277,157
ENSRNOG00000000985,234.86,243.96,216,1015.93,859.95,620.89
ENSRNOG00000000986,205,196,154,653,709,417
ENSRNOG00000000987,178.27,139.63,132.96,456.73,431.62,268.28
ENSRNOG00000000988,243,209,224,839,730,488
ENSRNOG00000000989,280.73,270.37,249.04,831.27,738.38,586.72
ENSRNOG00000000990,497,513,439,1536,1526,1121
ENSRNOG00000000991,225,188,239,2416,1360,1069
ENSRNOG00000000993,0,0,0,0,0,0
ENSRNOG00000000994,135,152,113,759,496,380
ENSRNOG00000000996,378,361,297,1394,1228,965
ENSRNOG00000000999,153,148,140,537,539,343
ENSRNOG00000001001,0,0,0,0,0,0
ENSRNOG00000001003,148,157,122,470,429,298
ENSRNOG00000001004,655,585,545,2520,3308,1792
ENSRNOG00000001005,1,1,1,13,3,7
ENSRNOG00000001006,3,7,0,7,10,10
ENSRNOG00000001007,428,444,399,1002,800,688
ENSRNOG00000001009,375,352,329,1519,886,717
ENSRNOG00000001010,372,371,304,1171,1069,805
ENSRNOG00000001011,1,0,0,4,4,3
ENSRNOG00000001017,1,0,0,0,0,0
ENSRNOG00000001027,0,0,0,0,0,0
ENSRNOG00000001030,297,602,320,4311,3255,5369
ENSRNOG00000001031,0,0,0,0,0,0
ENSRNOG00000001032,472.41,460.44,459.26,1296.6,1199.27,911.45
ENSRNOG00000001033,99,98,106,305,250,256
ENSRNOG00000001034,102.43,89.23,84,489.95,513.24,376.85
ENSRNOG00000001035,92,99,88,245,162,149
ENSRNOG00000001036,3,0,3,2,1,0
ENSRNOG00000001037,166,147,125,491,358,291
